refid,model,submodel,pop,prefix,dir,est,tpl,pv,maxL,bestll,version,run
1,1DModels,1D.1Epoch,ENP,v1_r90,1DModels/ENP/1D.1Epoch/version_1/run_90,1D.1Epoch.est,1D.1Epoch.tpl,1D.1Epoch/1D.1Epoch.pv,1D.1Epoch/1D.1Epoch_maxL.par,1D.1Epoch/1D.1Epoch.bestlhoods,1,90
2,1DModels,1D.2Epoch,ENP,v1_r43,1DModels/ENP/1D.2Epoch.ENP/version_1/run_43,1D.2Epoch.ENP.est,1D.2Epoch.ENP.tpl,1D.2Epoch.ENP/1D.2Epoch.ENP.pv,1D.2Epoch.ENP/1D.2Epoch.ENP_maxL.par,1D.2Epoch.ENP/1D.2Epoch.ENP.bestlhoods,1,43
#3,1DModels,1D.3Epoch,ENP,v3_r16,1DModels/ENP/1D.3Epoch.ENP/version_3/run_16,1D.3Epoch.ENP.est,1D.3Epoch.ENP.tpl,1D.3Epoch.ENP/1D.3Epoch.ENP.pv,1D.3Epoch.ENP/1D.3Epoch.ENP_maxL.par,1D.3Epoch.ENP/1D.3Epoch.ENP.bestlhoods,3,16
#4,1DModels,1D.3Epoch,ENP,v3_r96,1DModels/ENP/1D.3Epoch.ENP/version_3/run_96,1D.3Epoch.ENP.est,1D.3Epoch.ENP.tpl,1D.3Epoch.ENP/1D.3Epoch.ENP.pv,1D.3Epoch.ENP/1D.3Epoch.ENP_maxL.par,1D.3Epoch.ENP/1D.3Epoch.ENP.bestlhoods,3,96
5,1DModels,1D.3Epoch,ENP,v4_r10,1DModels/ENP/1D.3Epoch.ENP/version_4/run_10,1D.3Epoch.ENP.est,1D.3Epoch.ENP.tpl,1D.3Epoch.ENP/1D.3Epoch.ENP.pv,1D.3Epoch.ENP/1D.3Epoch.ENP_maxL.par,1D.3Epoch.ENP/1D.3Epoch.ENP.bestlhoods,4,10
6,1DModels,1D.4Epoch,ENP,v1_r59,1DModels/ENP/1D.4Epoch.ENP/version_1/run_59,1D.4Epoch.ENP.est,1D.4Epoch.ENP.tpl,1D.4Epoch.ENP/1D.4Epoch.ENP.pv,1D.4Epoch.ENP/1D.4Epoch.ENP_maxL.par,1D.4Epoch.ENP/1D.4Epoch.ENP.bestlhoods,1,59
7,1DModels,1D.1Epoch,GOC,v1_r74,1DModels/GOC/1D.1Epoch/version_1/run_74,1D.1Epoch.est,1D.1Epoch.tpl,1D.1Epoch/1D.1Epoch.pv,1D.1Epoch/1D.1Epoch_maxL.par,1D.1Epoch/1D.1Epoch.bestlhoods,1,74
8,1DModels,1D.2Epoch,GOC,v1_r25,1DModels/GOC/1D.2Epoch.GOC/version_1/run_25,1D.2Epoch.GOC.est,1D.2Epoch.GOC.tpl,1D.2Epoch.GOC/1D.2Epoch.GOC.pv,1D.2Epoch.GOC/1D.2Epoch.GOC_maxL.par,1D.2Epoch.GOC/1D.2Epoch.GOC.bestlhoods,1,25
9,1DModels,1D.3Epoch,GOC,v2_r7,1DModels/GOC/1D.3Epoch.GOC/version_2/run_7,1D.3Epoch.GOC.est,1D.3Epoch.GOC.tpl,1D.3Epoch.GOC/1D.3Epoch.GOC.pv,1D.3Epoch.GOC/1D.3Epoch.GOC_maxL.par,1D.3Epoch.GOC/1D.3Epoch.GOC.bestlhoods,2,7
10,1DModels,1D.4Epoch,GOC,v1_r17,1DModels/GOC/1D.4Epoch.GOC/version_1/run_17,1D.4Epoch.GOC.est,1D.4Epoch.GOC.tpl,1D.4Epoch.GOC/1D.4Epoch.GOC.pv,1D.4Epoch.GOC/1D.4Epoch.GOC_maxL.par,1D.4Epoch.GOC/1D.4Epoch.GOC.bestlhoods,1,17
#11,1DModels,1D.4Epoch,GOC,v2_r79,1DModels/GOC/1D.4Epoch.GOC/version_2/run_79,1D.4Epoch.GOC.est,1D.4Epoch.GOC.tpl,1D.4Epoch.GOC/1D.4Epoch.GOC.pv,1D.4Epoch.GOC/1D.4Epoch.GOC_maxL.par,1D.4Epoch.GOC/1D.4Epoch.GOC.bestlhoods,2,79
12,2DModels,2D.SplitNoMig,GOCENP,vreal_r9,2DModels/2D.2Epoch/version_real/run_9,2D.2Epoch.est,2D.2Epoch.tpl,2D.2Epoch/2D.2Epoch.pv,2D.2Epoch/2D.2Epoch_maxL.par,2D.2Epoch/2D.2Epoch.bestlhoods,real,9
13,2DModels,2D.SplitSymMig,GOCENP,vreal_r40,2DModels/2D.2Epoch.sim.mig/version_real/run_40,2D.2Epoch.sim.mig.est,2D.2Epoch.sim.mig.tpl,2D.2Epoch.sim.mig/2D.2Epoch.sim.mig.pv,2D.2Epoch.sim.mig/2D.2Epoch.sim.mig_maxL.par,2D.2Epoch.sim.mig/2D.2Epoch.sim.mig.bestlhoods,real,40
14,2DModels,2D.SplitAsyMig,GOCENP,vreal_r4,2DModels/2D.2Epoch.mig/version_real/run_4,2D.2Epoch.mig.est,2D.2Epoch.mig.tpl,2D.2Epoch.mig/2D.2Epoch.mig.pv,2D.2Epoch.mig/2D.2Epoch.mig_maxL.par,2D.2Epoch.mig/2D.2Epoch.mig.bestlhoods,real,4
15,2DModels,2D.SplitAsyMigTw2,GOCENP,vreal_r20,2DModels/2D.2Epoch.mig.wgen2/version_real/run_20,2D.2Epoch.mig.wgen2.est,2D.2Epoch.mig.wgen2.tpl,2D.2Epoch.mig.wgen2/2D.2Epoch.mig.wgen2.pv,2D.2Epoch.mig.wgen2/2D.2Epoch.mig.wgen2_maxL.par,2D.2Epoch.mig.wgen2/2D.2Epoch.mig.wgen2.bestlhoods,real,20
16,2DModels,2D.SplitAsyMigTw3,GOCENP,vreal_r33,2DModels/2D.2Epoch.mig.wgen3/version_real/run_33,2D.2Epoch.mig.wgen3.est,2D.2Epoch.mig.wgen3.tpl,2D.2Epoch.mig.wgen3/2D.2Epoch.mig.wgen3.pv,2D.2Epoch.mig.wgen3/2D.2Epoch.mig.wgen3_maxL.par,2D.2Epoch.mig.wgen3/2D.2Epoch.mig.wgen3.bestlhoods,real,33
17,2DModels,2D.AncSplitAsyMig,GOCENP,vreal2_r35,2DModels/2D.3Epoch.Anc/version_real_2/run_35,2D.3Epoch.Anc.est,2D.3Epoch.Anc.tpl,2D.3Epoch.Anc/2D.3Epoch.Anc.pv,2D.3Epoch.Anc/2D.3Epoch.Anc_maxL.par,2D.3Epoch.Anc/2D.3Epoch.Anc.bestlhoods,real2,35
18,2DModels,2D.AncSplitIsoAsyMig,GOCENP,vreal_r16,2DModels/2D.3Epoch.Anc.isolation/version_real/run_16,2D.3Epoch.Anc.isolation.est,2D.3Epoch.Anc.isolation.tpl,2D.3Epoch.Anc.isolation/2D.3Epoch.Anc.isolation.pv,2D.3Epoch.Anc.isolation/2D.3Epoch.Anc.isolation_maxL.par,2D.3Epoch.Anc.isolation/2D.3Epoch.Anc.isolation.bestlhoods,real,16
19,2DModels,2D.AncSplitAsyMigChgGOC,GOCENP,vreal_r46,2DModels/2D.3Epoch.Anc.Gulf/version_real/run_46,2D.3Epoch.Anc.Gulf.est,2D.3Epoch.Anc.Gulf.tpl,2D.3Epoch.Anc.Gulf/2D.3Epoch.Anc.Gulf.pv,2D.3Epoch.Anc.Gulf/2D.3Epoch.Anc.Gulf_maxL.par,2D.3Epoch.Anc.Gulf/2D.3Epoch.Anc.Gulf.bestlhoods,real,46
20,1DModels,1D.3EpochTcur3,ENP,v1_r39,1DModels/ENP/1D.3Epoch.tcur3.ENP/version_1/run_39,1D.3Epoch.tcur3.ENP.est,1D.3Epoch.tcur3.ENP.tpl,1D.3Epoch.tcur3.ENP/1D.3Epoch.tcur3.ENP.pv,1D.3Epoch.tcur3.ENP/1D.3Epoch.tcur3.ENP_maxL.par,1D.3Epoch.tcur3.ENP/1D.3Epoch.tcur3.ENP.bestlhoods,1,39
21,1DModels,1D.3EpochTcur2,ENP,v1_r54,1DModels/ENP/1D.3Epoch.tcur2.ENP/version_1/run_54,1D.3Epoch.tcur2.ENP.est,1D.3Epoch.tcur2.ENP.tpl,1D.3Epoch.tcur2.ENP/1D.3Epoch.tcur2.ENP.pv,1D.3Epoch.tcur2.ENP/1D.3Epoch.tcur2.ENP_maxL.par,1D.3Epoch.tcur2.ENP/1D.3Epoch.tcur2.ENP.bestlhoods,1,54
